Yes(79),Yes(1440 - 1760),48%,7013,360,01月01日,有,23970,,7
Yes(79),不需要,82%,19446,1874,01月31日,有,25510,,15
Yes(79),Yes(1200),81%,18101,434,06月01日,有,20674,,18
推荐,Yes(1530 - 1860),76%,24407,386,03月01日,无,26334,,18
Yes(80),Yes(1200 - 1990),62%,12029,438,01月01日,有,31328,,22
Yes(79),Yes(1510 - 1840),64%,7550,303,03月01日,有,30326,,18
Yes(79),Yes(1630 - 1718),63%,7408,168,01月01日,有,28987,,11
不需要,推荐,95%,20169,835,01月01日,无,23429,,19
Yes(79),推荐,86%,6522,130,01月01日,有,26308,,18
nan
Yes(80),不需要,35%,28362,2400,11月30日,有,18136,,28
Yes(77),不需要,86%,11679,586,05月01日,有,21956,,18
nan
nan
nan
nan
nan
nan
推荐,Yes(1460 - 1800),69%,23962,1214,滚动招生,有,30838,,17
Yes(79),Yes(1200 - 1870),48%,31067,566,01月01日,有,17324,,22
Yes(48),Yes(1250 - 1800),60%,11379,517,01月01日,有,23770,,20
nan
nan
Yes(61),Yes(1760),78%,14126,1600,01月05日,有,31516,,13
Yes(79),Yes(1260),62%,3636,1340,滚动招生,有,39290,,9
不需要,不需要,76%,13354,264,12月01日,有,28852,,16
nan
nan
nan
nan
Yes(79),不需要,71%,29237,1700,05月01日,有,22482,,22
Yes(70),不需要,65%,12312,667,03月01日,有,21324,
nan
Yes(71),Yes(1230),98%,10117,2762,06月01日,有,15638,,17
Yes(79),Yes(1400 - 1730),60%,16415,212,08月15日,无,25016,,15
Yes(79),Yes(1510 - 1260),74%,15962,307,01月01日,无,24320,,17
Yes(79),Yes(1430 - 1780),83%,9339,208,01月01日,有,28880,,16
nan
Yes(61),Yes(1380 - 1140),86%,22563,1740,04月01日,有,21432,,21
nan
nan
nan
推荐,推荐,87%,5969,717,02月15日,有,41281,,16
nan
Yes(68),Yes(1400 - 1190),45%,27889,371,01月01日,有,21304,,20
nan
Yes(71),Yes(600 - 1180),71%,11724,645,01月01日,有,18410,,19
nan
nan
nan
不需要,不需要,84%,11962,0,05月31日,有,18500,
nan
nan
Yes(79),Yes(1250),63%,32915,3365,04月01日,有,25364,,22
nan
Yes(79),Yes(1380 - 1660),60%,15173,487,01月01日,有,21595,,18
nan
nan
nan
nan
nan
nan
nan
nan
nan
Yes(75),Yes(1445 - 1600),69%,13010,446,07月22日,无,29319,,16
nan
nan
nan
